name,success,time,attempts,num_sessions
cpp_P224_0,1,0.17,1,224
cpp_P224_0,1,0.17,1,224
cpp_P224_0,1,0.18,1,224
cpp_P224_0,1,0.17,1,224
cpp_P224_0,1,0.17,1,224
cpp_P224_0,1,0.29,1,224
cpp_P224_0,1,0.17,1,224
cpp_P224_0,1,0.17,1,224
cpp_P224_0,1,0.17,1,224
cpp_P224_0,1,0.33,1,224
cpp_P224_0,1,0.17,1,224
cpp_P224_0,1,0.17,1,224
cpp_P224_0,1,0.38,1,224
cpp_P224_0,1,0.17,1,224
cpp_P224_0,1,0.16,1,224
cpp_P224_0,1,0.16,1,224
cpp_P224_0,1,0.16,1,224
cpp_P224_0,1,0.17,1,224
cpp_P224_0,1,0.16,1,224
cpp_P224_0,1,0.16,1,224
cpp_P224_0,1,0.17,1,224
cpp_P224_0,1,0.17,1,224
cpp_P224_0,1,0.16,1,224
cpp_P224_0,1,0.16,1,224
cpp_P224_0,1,0.17,1,224
cpp_P224_0,1,0.16,1,224
cpp_P224_0,1,0.17,1,224
cpp_P224_0,1,0.17,1,224
cpp_P224_0,1,0.17,1,224
cpp_P224_0,1,0.20,1,224
cpp_P224_0,1,0.16,1,224
cpp_P224_0,1,0.16,1,224
cpp_P224_0,1,0.16,1,224
cpp_P224_0,1,0.16,1,224
cpp_P224_0,1,0.16,1,224
cpp_P224_0,1,0.16,1,224
cpp_P224_0,1,0.16,1,224
cpp_P224_0,1,0.16,1,224
cpp_P224_0,1,0.16,1,224
cpp_P224_0,1,0.16,1,224
cpp_P224_0,1,0.16,1,224
cpp_P224_0,1,0.16,1,224
cpp_P224_0,1,0.16,1,224
cpp_P224_0,1,0.16,1,224
cpp_P224_0,1,0.16,1,224
cpp_P224_0,1,0.16,1,224
cpp_P224_0,1,0.16,1,224
cpp_P224_0,1,0.16,1,224
cpp_P224_0,1,0.16,1,224
cpp_P224_0,1,0.17,1,224
cpp_P224_0,1,0.16,1,224
cpp_P224_0,1,0.16,1,224
cpp_P224_0,1,0.16,1,224
cpp_P224_0,1,0.17,1,224
cpp_P224_0,1,0.16,1,224
cpp_P224_0,1,0.16,1,224
cpp_P224_0,1,0.16,1,224
cpp_P224_0,1,0.16,1,224
cpp_P224_0,1,0.16,1,224
cpp_P224_0,1,0.16,1,224
cpp_P224_0,1,0.17,1,224
cpp_P224_0,1,0.17,1,224
cpp_P224_0,1,0.16,1,224
cpp_P224_0,1,0.16,1,224
cpp_P224_0,1,0.16,1,224
cpp_P224_0,1,0.16,1,224
cpp_P224_0,1,0.16,1,224
cpp_P224_0,1,0.16,1,224
cpp_P224_0,1,0.16,1,224
cpp_P224_0,1,0.17,1,224
cpp_P224_0,1,0.16,1,224
cpp_P224_0,1,0.16,1,224
cpp_P224_0,1,0.17,1,224
cpp_P224_0,1,0.17,1,224
cpp_P224_0,1,0.16,1,224
cpp_P224_0,1,0.17,1,224
cpp_P224_0,1,0.17,1,224
cpp_P224_0,1,0.17,1,224
cpp_P224_0,1,0.16,1,224
cpp_P224_0,1,0.16,1,224
cpp_P224_0,1,0.17,1,224
cpp_P224_0,1,0.16,1,224
cpp_P224_0,1,0.16,1,224
cpp_P224_0,1,0.16,1,224
cpp_P224_0,1,0.16,1,224
cpp_P224_0,1,0.17,1,224
cpp_P224_0,1,0.17,1,224
cpp_P224_0,1,0.17,1,224
cpp_P224_0,1,0.17,1,224
cpp_P224_0,1,0.17,1,224
cpp_P224_0,1,0.17,1,224
cpp_P224_0,1,0.16,1,224
cpp_P224_0,1,0.17,1,224
cpp_P224_0,1,0.16,1,224
cpp_P224_0,1,0.16,1,224
cpp_P224_0,1,0.17,1,224
cpp_P224_0,1,0.16,1,224
